"2019-02-18 20:46:52" Welcome to Cetus3Dbasic
"2019-02-18 20:46:52" setup: WiFi 'FFamPennings' .... ESP8266 at 192.168.178.78
"2019-02-18 20:46:53" setup: Finding Cetus3D ... found 'MaartensCetus3D' at 192.168.178.10
"2019-02-18 20:46:53" stat:  seq#  clock : stat/statusname      layer  height done   remain  nozzle  hotbed 
"2019-02-18 21:01:01" stat: 00079 00852s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:01:11" stat: 00080 00862s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
"2019-02-18 21:01:22" stat: 00081 00873s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:01:32" stat: 00082 00883s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:01:42" stat: 00083 00893s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:01:53" stat: 00084 00904s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:02:03" stat: 00085 00914s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:02:13" stat: 00086 00924s : 0202/printing        L0006   0.0mm  14%  2:24:23   0.98x   0.34x 
"2019-02-18 21:02:23" stat: 00087 00935s : 0202/printing        L0006   0.0mm  14%  2:24:23   0.98x   0.34x 
"2019-02-18 21:02:34" stat: 00088 00945s : 0202/printing        L0006   0.0mm  14%  2:24:23   0.98x   0.34x 
"2019-02-18 21:02:44" stat: 00089 00955s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:02:54" stat: 00090 00965s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:03:07" stat: 00091 00978s : 0202/printing        L0006   0.0mm  14%  2:24:23   0.98x   0.34x 
"2019-02-18 21:03:17" stat: 00092 00988s : 0202/printing        L0006   0.0mm  14%  2:24:23   0.98x   0.34x 
"2019-02-18 21:03:27" stat: 00093 00998s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:03:38" stat: 00094 01009s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
